ticker,currentPrice,totalRevenue,ebitda,freeCashflow,profitMargins,revenueGrowth,debtToEquity,totalDebt,numberOfAnalystOpinions,recommendationKey,timeStamp
DIS,111.04,90027999232,16750999552,8273750016,0.053049996,0.037,45.188,47584002048,28,buy,2025-01-24 00:57:19.442960
ANET,129.12,6613147136,2833341952,2425385728,0.40293998,0.2,0.755,69800000,24,buy,2025-01-24 00:57:19.883103
AMT,186.39,11167699968,6966099968,4893250048,0.09942,0,439.338,44781301760,19,buy,2025-01-24 00:57:20.344786
LRCX,81.23,15591300096,4920197120,3978129408,0.2602,0.197,58.827,4983769088,31,buy,2025-01-24 00:57:20.871839
GEV,437.71,34422001664,1396999936,,0.03675,0.08,9.346,983000000,24,buy,2025-01-24 00:57:21.394192
GE,200.8,69953003520,8935000064,4729375232,0.08926,0.058,110.224,21056000000,17,strong_buy,2025-01-24 00:57:21.893519
EQIX,940.93,8401490944,3352907008,2946253568,0.12571,0.189,140.964,19188000768,24,buy,2025-01-24 00:57:22.333199
SHW,361.11,23053500416,4399799808,1918649984,0.11094,0.007,291.114,12099000320,23,buy,2025-01-24 00:57:22.816509
APH,78.55,14232399872,3586299904,1660737536,0.15403,0.262,57.565,5484100096,16,buy,2025-01-24 00:57:23.253716
SNPS,551.54,6483438080,1652390016,-144225504,0.23111999,0.127,8.7,673875008,24,strong_buy,2025-01-24 00:57:23.687816
KLAC,760.95,10256832512,4249192960,2268658176,0.28921,0.185,191.76,6826095104,28,buy,2025-01-24 00:57:24.118588
