ticker,currentPrice,totalRevenue,ebitda,freeCashflow,profitMargins,revenueGrowth,debtToEquity,totalDebt,numberOfAnalystOpinions,recommendationKey,timeStamp
AAPL,223.66,391034994688,134660997120,110846001152,0.23971,0.061,209.059,119058997248,41,buy,2025-01-24 00:57:00.678770
NVDA,147.22,96307003392,61184000000,33725874176,0.55041003,1.224,17.221,10014999552,53,strong_buy,2025-01-24 00:57:01.110613
MSFT,446.71,254189993984,136551997440,61280874496,0.35608003,0.16,33.657,96838000640,49,strong_buy,2025-01-24 00:57:01.612327
AMZN,235.42,620127977472,111583002624,54328250368,0.080419995,0.11,61.175,158534991872,64,strong_buy,2025-01-24 00:57:02.126528
META,636.45,156226994176,79208996864,39083376640,0.35549998,0.189,29.811,49046999040,62,buy,2025-01-24 00:57:02.653895
TSLA,412.38,97150001152,13244000256,676625024,0.13075,0.078,18.078,12782999552,41,hold,2025-01-24 00:57:03.155876
GOOGL,197.98,339859013632,123469996032,41104498688,0.27738002,0.151,9.324,29289000960,45,buy,2025-01-24 00:57:03.669661
GOOG,199.58,339859013632,123469996032,41104498688,0.27738002,0.151,9.324,29289000960,18,buy,2025-01-24 00:57:04.090108
LLY,766.6,40863301632,16566500352,-1306887552,0.20482999,0.204,218.081,31230699520,26,buy,2025-01-24 00:57:04.589427
V,328.21,35925999616,24973000704,13259249664,0.54955,0.117,53.239,20835999744,36,buy,2025-01-24 00:57:05.093476
MA,534.22,27225999360,16784000000,13575374848,0.45262,0.128,244.839,18357999616,34,buy,2025-01-24 00:57:05.613761
COST,942.16,254453006336,11521999872,4467500032,0.02895,0.01,42.118,9948999680,32,buy,2025-01-24 00:57:06.126384
NFLX,984.86,37587279872,9976898560,21647300608,0.20701,0.15,81.461,18508648448,41,buy,2025-01-24 00:57:06.637587
AVGO,240.28,46814998528,22958000128,25984124928,0.108830005,0.164,166.032,40456998912,38,strong_buy,2025-01-24 00:57:07.158453
CRM,334.66,36465000448,9345000448,12935749632,0.15445,0.084,21.148,12188000256,46,buy,2025-01-24 00:57:07.656464
ADBE,437.28,20946999296,8134000128,6618500096,0.25588,0.106,41.788,6078000128,35,buy,2025-01-24 00:57:08.172514
AMD,123.04,24295000064,4479000064,2221374976,0.07516,0.176,3.927,2238000128,43,buy,2025-01-24 00:57:08.690351
LIN,440.83,33024999424,12581000192,4216750080,0.19328,0.025,54.828,22261999616,25,buy,2025-01-24 00:57:09.200174
NOW,1134.2,10464000000,1824000000,3431500032,0.12768,0.222,24.166,2244999936,38,buy,2025-01-24 00:57:09.712221
MCD,284.43,25938700288,13845499904,7300262400,0.3179,0.027,,53449998336,31,buy,2025-01-24 00:57:10.212015
ISRG,608.66,7866899968,2505100032,637524992,0.28513,0.169,,0,28,buy,2025-01-24 00:57:10.608355
TXN,200.61,15710999552,6896999936,-473624992,0.31601998,-0.084,84.399,14574000128,29,hold,2025-01-24 00:57:11.043621
BKNG,4818.14,23051999232,7183000064,7527875072,0.21846001,0.089,,16720000000,37,buy,2025-01-24 00:57:11.566101
INTU,598.3,16284999680,4496000000,4246874880,0.18195,0.41,,,29,buy,2025-01-24 00:57:12.054217
SPGI,513.54,13767999488,6645000192,4448374784,0.25792,0.159,31.362,12039999488,21,strong_buy,2025-01-24 00:57:12.464481
AMAT,190.7,26854000640,8204000256,4395624960,0.27743,0.055,35.409,6671000064,34,buy,2025-01-24 00:57:12.988141
UBER,68.3,41955000320,3444999936,3871000064,0.10492,0.204,80.343,13287999488,50,buy,2025-01-24 00:57:13.493140
TJX,122.6,55623000064,7125000192,3528750080,0.08563,0.056,162.567,12650999808,22,buy,2025-01-24 00:57:14.001032
PLTR,78.98,2646338048,397707008,784283520,0.18009001,0.3,5.552,254915008,19,hold,2025-01-24 00:57:14.407930
BX,185.52,11138276352,,,0.19971001,0.541,65.956,12838316032,20,buy,2025-01-24 00:57:14.931257
SYK,393.5,21973999616,5693000192,2775124992,0.16337,0.119,79.443,16007000064,28,buy,2025-01-24 00:57:15.447070
BSX,101.64,15911000064,4063000064,1804875008,0.112629995,0.193,53.722,11258000384,32,strong_buy,2025-01-24 00:57:15.857751
PANW,187.32,8027500032,1094400000,2498700032,0.3211,0.121,27.28,1410300032,48,buy,2025-01-24 00:57:16.355274
ADP,295.8,19522899968,5733100032,2609362432,0.19715,0.071,176.65,9448299520,15,hold,2025-01-24 00:57:16.878454
VRTX,439.73,10625800192,4446600192,3063387392,-0.045149997,0.116,11.35,1774099968,30,buy,2025-01-24 00:57:17.303131
SBUX,97.99,36176199680,6700000256,2150099968,0.10396,-0.032,,25803100160,29,buy,2025-01-24 00:57:17.721020
TMUS,216.04,80005996544,30663999488,9192125440,0.12964,0.047,182.272,117109997568,26,buy,2025-01-24 00:57:18.128417
BA,178.5,73292996608,-3991000064,-4186625024,-0.10880999,-0.015,,57649999872,24,buy,2025-01-24 00:57:18.612584
ACN,363.26,64896462848,11065912320,7641968128,0.111940004,0.026,14.127,4120549120,24,buy,2025-01-24 00:57:19.034812
