ticker,currentPrice,totalRevenue,ebitda,freeCashflow,profitMargins,revenueGrowth,debtToEquity,totalDebt,numberOfAnalystOpinions,recommendationKey,timeStamp
AAPL,250.42,391034994688,134660997120,110846001152,0.23971,0.061,209.059,119058997248,42,buy,2025-01-01 23:44:32.834396
NVDA,134.29,96307003392,61184000000,33725874176,0.55041003,1.224,17.221,10014999552,54,strong_buy,2025-01-01 23:44:33.305454
MSFT,421.5,254189993984,136551997440,61280874496,0.35608003,0.16,33.657,96838000640,48,strong_buy,2025-01-01 23:44:33.810612
AMZN,219.39,620127977472,111583002624,54328250368,0.080419995,0.11,61.175,158534991872,64,strong_buy,2025-01-01 23:44:34.310695
META,585.51,156226994176,79208996864,39083376640,0.35549998,0.189,29.811,49046999040,61,strong_buy,2025-01-01 23:44:34.834487
TSLA,403.84,97150001152,13244000256,676625024,0.13075,0.078,18.078,12782999552,42,hold,2025-01-01 23:44:35.206983
GOOGL,189.3,339859013632,123469996032,41104498688,0.27738002,0.151,9.324,29289000960,48,buy,2025-01-01 23:44:35.661601
GOOG,190.44,339859013632,123469996032,41104498688,0.27738002,0.151,9.324,29289000960,16,buy,2025-01-01 23:44:36.164954
LLY,772.0,40863301632,16566500352,-1306887552,0.20482999,0.204,218.081,31230699520,27,buy,2025-01-01 23:44:36.569693
V,316.04,35925999616,24973000704,13259249664,0.54955,0.117,53.239,20835999744,35,buy,2025-01-01 23:44:37.002168
MA,526.57,27225999360,16784000000,13575374848,0.45262,0.128,244.839,18357999616,35,buy,2025-01-01 23:44:37.508079
COST,916.27,254453006336,11521999872,4467500032,0.02895,0.01,42.118,9948999680,31,buy,2025-01-01 23:44:38.009293
NFLX,891.32,37587279872,9976898560,21647300608,0.20701,0.15,81.461,18508648448,41,buy,2025-01-01 23:44:38.419700
AVGO,231.84,46814998528,22958000128,25984124928,0.108830005,0.164,166.032,40456998912,37,strong_buy,2025-01-01 23:44:38.919691
CRM,334.33,36465000448,9345000448,12935749632,0.15445,0.084,21.148,12188000256,45,buy,2025-01-01 23:44:39.436734
ADBE,444.68,20946999296,8134000128,6618500096,0.25588,0.106,41.788,6078000128,35,none,2025-01-01 23:44:39.954718
AMD,120.79,24295000064,4479000064,2221374976,0.07516,0.176,3.927,2238000128,44,buy,2025-01-01 23:44:40.473478
LIN,418.67,33024999424,12581000192,4216750080,0.19328,0.025,54.828,22261999616,25,none,2025-01-01 23:44:40.970497
NOW,1060.12,10464000000,1824000000,3431500032,0.12768,0.222,24.166,2244999936,38,buy,2025-01-01 23:44:41.423514
MCD,289.89,25938700288,13845499904,7300262400,0.3179,0.027,,53449998336,32,none,2025-01-01 23:44:41.822861
ISRG,521.96,7866899968,2505100032,637524992,0.28513,0.169,,0,28,buy,2025-01-01 23:44:42.314362
TXN,187.51,15710999552,6896999936,-473624992,0.31601998,-0.084,84.399,14574000128,29,none,2025-01-01 23:44:42.736255
BKNG,4968.42,23051999232,7183000064,7527875072,0.21846001,0.089,,16720000000,36,buy,2025-01-01 23:44:43.144668
INTU,628.5,16284999680,4496000000,4246874880,0.18195,0.41,,,29,buy,2025-01-01 23:44:43.577748
SPGI,498.03,13767999488,6645000192,4448374784,0.25792,0.159,31.362,12039999488,21,buy,2025-01-01 23:44:44.048360
AMAT,162.63,26854000640,8204000256,4395624960,0.27743,0.055,35.409,6671000064,33,buy,2025-01-01 23:44:44.549430
UBER,60.32,41955000320,3444999936,3871000064,0.10492,0.204,80.343,13287999488,50,buy,2025-01-01 23:44:44.971518
TJX,120.81,55623000064,7125000192,3528750080,0.08563,0.056,162.567,12650999808,22,buy,2025-01-01 23:44:45.364043
PLTR,75.63,2646338048,397707008,784283520,0.18009001,0.3,5.552,254915008,18,hold,2025-01-01 23:44:45.788866
BX,172.42,11138276352,,,0.19971001,0.541,65.956,12838316032,20,buy,2025-01-01 23:44:46.294409
SYK,360.05,21973999616,5693000192,2775124992,0.16337,0.119,79.443,16007000064,28,buy,2025-01-01 23:44:46.816581
BSX,89.32,15911000064,4063000064,1804875008,0.112629995,0.193,53.722,11258000384,33,buy,2025-01-01 23:44:47.224895
PANW,181.96,8027500032,1094400000,2498700032,0.3211,0.121,27.28,1410300032,49,buy,2025-01-01 23:44:47.726615
ADP,292.73,19522899968,5733100032,2609362432,0.19715,0.071,176.65,9448299520,16,none,2025-01-01 23:44:48.164541
VRTX,402.7,10625800192,4446600192,3063387392,-0.045149997,0.116,11.35,1774099968,30,buy,2025-01-01 23:44:48.579607
SBUX,91.25,36176199680,6700000256,2150099968,0.10396,-0.032,,25803100160,30,buy,2025-01-01 23:44:49.068503
TMUS,220.73,80005996544,30663999488,9192125440,0.12964,0.047,182.272,117109997568,26,buy,2025-01-01 23:44:49.571982
BA,177.0,73292996608,-3991000064,-4186625024,-0.10880999,-0.015,,57649999872,24,buy,2025-01-01 23:44:50.098130
ACN,351.79,64896462848,11065912320,7641968128,0.111940004,0.026,14.127,4120549120,23,buy,2025-01-01 23:44:50.607291
DIS,111.35,90027999232,16750999552,8273750016,0.053049996,0.037,45.188,47584002048,28,buy,2025-01-01 23:44:51.033170
ANET,110.53,6613147136,2833341952,2425385728,0.40293998,0.2,0.755,69800000,23,buy,2025-01-01 23:44:51.454379
AMT,183.41,11167699968,6966099968,4893250048,0.09942,0.0,439.338,44781301760,19,none,2025-01-01 23:44:51.937313
LRCX,72.23,15591300096,4920197120,3978129408,0.2602,0.197,58.827,4983769088,31,buy,2025-01-01 23:44:52.541938
GEV,328.93,34422001664,1396999936,,0.03675,0.08,9.346,983000000,24,buy,2025-01-01 23:44:53.052935
GE,166.79,69953003520,8935000064,4729375232,0.08926,0.058,110.224,21056000000,17,strong_buy,2025-01-01 23:44:53.561832
EQIX,942.89,8401490944,3352907008,2946253568,0.12571,0.189,140.964,19188000768,23,buy,2025-01-01 23:44:53.984856
SHW,339.93,23053500416,4399799808,1918649984,0.11094,0.007,291.114,12099000320,23,buy,2025-01-01 23:44:54.497934
APH,69.45,14232399872,3586299904,1660737536,0.15403,0.262,57.565,5484100096,18,none,2025-01-01 23:44:55.002816
SNPS,485.36,6483438080,1652390016,-144225504,0.23111999,0.127,8.7,673875008,22,strong_buy,2025-01-01 23:44:55.513640
KLAC,630.12,10256832512,4249192960,2268658176,0.28921,0.185,191.76,6826095104,27,buy,2025-01-01 23:44:55.940227
